id,site_ID,expand_name,location,sponsor,revenue,owner,year,traffic,Media Type,type
152,152,Geller Report,USA,advertising/donations,mixed,Pamela Geller,2016,Medium,Website,politics
153,153,Caldron Pool,Australia,advertising/fees,mixed,Unknown,2017,Unknown,Unknown,politics
154,154,The Truth about Cancer,USA,advertising/donations/sales,mixed,TTAC Publishing LLC,2011,Unknown,Unknown,pseudoscience 
155,155,Perez Hilton,USA,advertising,advertising,Mario Armando Lavandeira Jr.,2004,Unknown,Unknown,mega
156,156,Christian Ministries International,Australia,donations,donations,Unknown,1977,Medium,Organization/Foundation,politics
157,157,BuzzFeed,,,,,,,,mega
158,158,The Duran,Cyrpus,advertising/donations,mixed,Cyprus-based DRN Media PLC,2016,Medium,Website,politics
159,159,News Rescue,Nigeria,advertising,advertising,Unknown,2007,Unknown,Unknown,conspiracy 
160,160,Educate Yourself,USA,Unknown,Unknown,Ken Adachi,1998,Unknown,Unknown,pseudoscience 
161,161,TooFab,USA,advertising,advertising,Unknown,2010,High,Website,mega
162,162,Alpha News,USA,donations,donations,Unknown,2015,Minimal,Organization/Foundation,politics
163,163,Free Republic,USA,donations,donations,Jim Robinson,1996,Unknown,Unknown,politics
164,164,Oye.news,United Kingdom,advertising,advertising,Unknown,2011,Unknown,Unknown,conspiracy 
165,165,All News Pipeline,USA,advertising/donations,mixed,Susan Duclos,2014,Medium,Website,politics
166,166,News Pushed,United Kingdom,advertising,advertising,Unknown,2020,Minimal,Website,politics
167,167,Head Topics,Unknown,advertising,advertising,Unknown,2017,Unknown,Unknown,politics
168,168,The Tehran Times,Iran,Unknown,Unknown,Islamic Ideology Dissemination Organization (IIDO),1979,Unknown,Unknown,mega
169,169,The Free Telegraph,USA,organization,organization,The Republican Governors Association,Unknown,Minimal,Website,politics
170,170,The Daily Expose,United Kingdom,advertising/donations,mixed,Unknown,2020,Minimal,Website,conspiracy 
171,171,100% Fed Up,USA,advertising/sales,mixed,Unknown,2012,Medium,Website,politics
172,172,Newsmax,USA,advertising/fees,mixed,Christopher Ruddy,1998,High,TV Station,mega
173,173,NPR News,USA,advertising/donations/sales,mixed,Mike Adams,Unknown,Unknown,Unknown,mega
174,174,Vidmax,Cyrpus,advertising,advertising,Unknown,2003,Unknown,Unknown,mega
175,175,Huffington Post,,,,,,,,mega
176,176,Truth and Action,USA,advertising,advertising,Truth and Action LLC,2013,Unknown,Unknown,politics
177,177,Politico,,,,,,,,mega
178,178,Mixi.Media,Unknown,advertising,advertising,Unknown,2018,Unknown,Unknown,mega
179,179,Wall Street Journal,,,,,,,,mega
180,180,MSNBC,,,,,,,,mega
181,181,Evolution News and Views,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pseudoscience 
182,182,Evil.News,USA,advertising/sales,mixed,Natural News Network,2015,Unknown,Unknown,conspiracy 
183,183,News with Views,USA,advertising/donations/sales,mixed,Unknown,2001,Unknown,Unknown,conspiracy 
184,184,Covert Geopolitics,USA,advertising,advertising,Unknown,2015,Minimal,Website,conspiracy 
185,185,USA Really,Russia,donations,donations,Alexander Malkevich,2018,Unknown,Unknown,politics
186,186,Conscious Life News,USA,advertising,advertising,Ross Pittman,2010,Unknown,Unknown,pseudoscience 
187,187,Newsweek,,,,,,,,mega
188,188,redstatewatcher.com,Unknown,advertising,advertising,Unknown,2015,Unknown,Unknown,politics
189,189,Citizens for Legitimate Government,USA,donations,donations,Michael Rectenwald,Unknown,Unknown,Unknown,politics
190,190,GMWatch,United Kingdom,organization,organization,Unknown,1998,Minimal,Organization/Foundation,pseudoscience 
191,191,dailysurge.com,USA,advertising,advertising,Steve Pauwels,2006,Minimal,Website,politics
192,192,American Patriot Daily,USA,advertising,advertising,Unknown,2015,Unknown,Unknown,politics
193,193,Global Times,China,,,,,,,politics
194,194,Sustainable Pulse,USA,advertising,advertising,Unknown,2012,Unknown,Unknown,pseudoscience 
195,195,Vox,,,,,,,,mega
196,196,WorldStarHipHop,USA,advertising/sales,mixed,"Worldstar, LLC.",2005,Unknown,Unknown,mega
